,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,"Amsterdam, North Holland, The Netherlands",within a few hours,100,75,f,unknown,13,13,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Noord-Oost,52.39508,4.99186,Private room in farm stay,Private room,3,1.5 shared baths,1.0,1.9564237415477086,"[""First aid kit"", ""Free parking on premises"", ""Breakfast"", ""Coffee maker"", ""Cooking basics"", ""Host greets you"", ""Kitchen"", ""Private entrance"", ""Backyard"", ""Long term stays allowed"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Wifi"", ""Dishes and silverware"", ""Essentials""]",87.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,249,81,0,0,2019-06-15,4.62,4.56,4.29,4.57,4.75,4.69,4.49,f,10,0,10,0,0.91
1,"Amsterdam, Noord-Holland, Netherlands",unknown,0,0,f,Weesperbuurt en Plantage,0,0,"['email', 'phone', 'reviews']",t,f,Centrum-Oost,52.36371,4.90745,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Hot water kettle"", ""Pocket wifi"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Piano"", ""Hangers"", ""Dining table"", ""Cooking basics"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Rice maker"", ""Essentials"", ""Drying rack for clothing"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Body soap"", ""Freezer"", ""Toaster"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony"", ""Wine glasses""]",250.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,3,3,3,3,9,4,1,2021-09-05,5.0,5.0,5.0,4.89,5.0,5.0,4.89,f,1,1,0,0,0.4
2,"Wassenaar, South Holland, Netherlands",within an hour,100,97,t,Hoofddorppleinbuurt,20,20,"['email', 'phone']",t,t,Zuid,52.35482,4.85329,Room in serviced apartment,Hotel room,2,1 private bath,1.0,1.0,"[""Air conditioning"", ""First aid kit"", ""Hangers"", ""Paid parking off premises"", ""Hair dryer"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Waterfront"", ""Hot water"", ""Smoke alarm"", ""Single level home"", ""Smart lock"", ""Refrigerator"", ""Long term stays allowed"", ""Bed linens"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Essentials""]",151.0,1,1125,1.0,1.0,99.0,99.0,1.0,99.0,t,25,55,85,267,47,3,1,2020-03-07,4.79,4.83,4.91,4.62,4.87,4.87,4.4,t,20,4,0,0,1.25
3,"Amsterdam, North Holland, Netherlands",within an hour,100,67,f,Oud-West,1,1,"['email', 'phone', 'facebook']",t,f,De Baarsjes - Oud-West,52.36446,4.85972,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Hair dryer"", ""Stove"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Single level home"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Dishwasher"", ""Heating""]",139.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,10,3,0,2019-11-10,5.0,5.0,4.8,5.0,5.0,4.9,4.7,f,1,1,0,0,0.31
4,"Amsterdam, North Holland, The Netherlands",within a few hours,100,75,t,Oud-Zuid,1,1,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Zuid,52.34176,4.84782,Private room in rental unit,Private room,2,1.5 baths,1.0,2.0,"[""Hair dryer"", ""Dishes and silverware"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Microwave"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Cable TV"", ""Host greets you"", ""Lake access"", ""Paid street parking off premises"", ""Heating""]",95.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,t,18,48,78,349,166,1,0,2019-08-26,4.67,4.76,4.81,4.95,4.89,4.49,4.57,f,1,0,1,0,1.78
5,"Amsterdam, Noord-Holland, The Netherlands",within an hour,100,100,t,Nieuwmarkt en Lastage,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Centrum-Oost,52.36893,4.89729,Private room in loft,Private room,2,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Hair dryer"", ""Pocket wifi"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""TV with standard cable"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Cable TV"", ""Paid parking off premises"", ""Keypad"", ""Dedicated workspace"", ""Heating""]",140.0,3,10,3.0,3.0,10.0,10.0,3.0,10.0,t,27,57,87,177,101,0,0,2020-01-05,4.63,4.74,4.34,4.95,4.89,4.98,4.44,t,3,0,3,0,1.97
6,"Amsterdam, North Holland, Netherlands",within an hour,100,100,t,De Pijp,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Pijp - Rivierenbuurt,52.35076,4.88956,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Air conditioning"", ""Extra pillows and blankets"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Pocket wifi"", ""Stove"", ""Washer"", ""Ethernet connection"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Window guards"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Private entrance"", ""Bed linens"", ""Microwave"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Bathtub"", ""Host greets you"", ""Outlet covers"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony"", ""Baby safety gates""]",112.0,2,1125,2.0,3.0,1125.0,1125.0,2.9,1125.0,t,12,14,14,14,77,8,2,2020-09-20,4.97,4.99,5.0,5.0,5.0,4.93,4.75,f,1,1,0,0,1.38
7,NL,within an hour,100,100,f,De Pijp,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Pijp - Rivierenbuurt,52.35593,4.89857,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Hair dryer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Private entrance"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Host greets you"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",119.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,23,50,80,222,19,2,0,2019-07-16,4.56,4.61,4.5,4.44,4.67,4.78,4.22,f,1,0,1,0,0.42
8,"Amsterdam, North Holland, The Netherlands",within an hour,100,100,f,Oosterparkbuurt,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Oud-Oost,52.35609,4.90872,Entire residential home,Entire home/apt,4,1 bath,3.0,1.0,"[""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Fire pit"", ""Outdoor furniture"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Backyard"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",199.0,2,19,2.0,2.0,19.0,19.0,2.0,19.0,t,0,3,4,4,3,3,0,2021-09-05,5.0,4.67,4.33,4.67,5.0,4.67,4.67,f,1,1,0,0,0.73
9,"Amsterdam, North Holland, Netherlands",within an hour,97,99,t,unknown,8,8,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Westerpark,52.38586,4.87644,Room in boutique hotel,Private room,2,1 bath,1.0,1.0,"[""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Elevator"", ""Essentials""]",80.0,1,1125,1.0,3.0,999.0,1125.0,1.0,1047.5,t,20,35,44,250,31,18,3,2021-11-17,4.81,4.84,4.87,4.81,4.84,4.74,4.58,t,9,0,9,0,1.82
