,Unnamed: 0,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_location_Argentina,host_location_Australia,host_location_Belgium,host_location_Britain,host_location_Canada,host_location_China,host_location_Colombia,host_location_Denmark,host_location_Emirates,host_location_Finland,host_location_France,host_location_Germany,host_location_Ireland,host_location_Italy,host_location_Kingdom,host_location_Lithuania,host_location_Netherlands,host_location_Romania,host_location_Singapore,host_location_Spain,host_location_Sweden,host_location_Switzerland,host_location_Turkey,host_location_US,host_location_unknown,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighbourhood_cleansed_Bijlmer-Oost,neighbourhood_cleansed_Bos en Lommer,neighbourhood_cleansed_Buitenveldert - Zuidas,neighbourhood_cleansed_Centrum-Oost,neighbourhood_cleansed_Centrum-West,neighbourhood_cleansed_De Aker - Nieuw Sloten,neighbourhood_cleansed_De Baarsjes - Oud-West,neighbourhood_cleansed_De Pijp - Rivierenbuurt,neighbourhood_cleansed_Gaasperdam - Driemond,neighbourhood_cleansed_Geuzenveld - Slotermeer,neighbourhood_cleansed_IJburg - Zeeburgereiland,neighbourhood_cleansed_Noord-Oost,neighbourhood_cleansed_Noord-West,neighbourhood_cleansed_Oostelijk Havengebied - Indische Buurt,neighbourhood_cleansed_Osdorp,neighbourhood_cleansed_Oud-Noord,neighbourhood_cleansed_Oud-Oost,neighbourhood_cleansed_Slotervaart,neighbourhood_cleansed_Watergraafsmeer,neighbourhood_cleansed_Westerpark,neighbourhood_cleansed_Zuid,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathrooms_text_0 shared baths,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_2 baths,bathrooms_text_2 shared baths,bathrooms_text_2.5 baths,bathrooms_text_3 baths,bathrooms_text_3 shared baths,bathrooms_text_3.5 baths,bathrooms_text_3.5 shared baths,bathrooms_text_4 baths,bathrooms_text_4 shared baths,bathrooms_text_4.5 baths,bathrooms_text_5 baths,bathrooms_text_5.5 baths,bathrooms_text_Half-bath,bathrooms_text_Private half-bath,bathrooms_text_Shared half-bath,bathrooms_text_unknown,host_identity_verified_t,host_has_profile_pic_t,has_availability_t,instant_bookable_t,host_is_superhost_t
0,0,100,75,13,13,8,52.39508,4.99186,3,1.0,1.9564237415477088,33,87.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,249,81,0,0,4.62,4.56,4.29,4.57,4.75,4.69,4.49,10,0,10,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,0,0,3,52.36371,4.90745,4,2.0,2.0,71,250.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,3,3,3,3,9,4,1,5.0,5.0,5.0,4.89,5.0,5.0,4.89,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,2,100,97,20,20,2,52.35482,4.85329,2,1.0,1.0,40,151.0,1,1125,1.0,1.0,99.0,99.0,1.0,99.0,25,55,85,267,47,3,1,4.79,4.83,4.91,4.62,4.87,4.87,4.4,20,4,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3,3,100,67,1,1,3,52.36446,4.85972,2,1.0,1.0,40,139.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,10,3,0,5.0,5.0,4.8,5.0,5.0,4.9,4.7,1,1,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,4,100,75,1,1,9,52.34176,4.84782,2,1.0,2.0,55,95.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,18,48,78,349,166,1,0,4.67,4.76,4.81,4.95,4.89,4.49,4.57,1,0,1,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
5,5,100,100,2,2,5,52.36893,4.89729,2,1.0,1.0,46,140.0,3,10,3.0,3.0,10.0,10.0,3.0,10.0,27,57,87,177,101,0,0,4.63,4.74,4.34,4.95,4.89,4.98,4.44,3,0,3,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6,6,100,100,1,1,8,52.35076,4.88956,2,1.0,1.0,86,112.0,2,1125,2.0,3.0,1125.0,1125.0,2.9,1125.0,12,14,14,14,77,8,2,4.97,4.99,5.0,5.0,5.0,4.93,4.75,1,1,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
7,7,100,100,1,1,7,52.35593,4.89857,2,1.0,1.0,51,119.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,23,50,80,222,19,2,0,4.56,4.61,4.5,4.44,4.67,4.78,4.22,1,0,1,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
8,8,100,100,2,2,8,52.35609,4.90872,4,3.0,1.0,36,199.0,2,19,2.0,2.0,19.0,19.0,2.0,19.0,0,3,4,4,3,3,0,5.0,4.67,4.33,4.67,5.0,4.67,4.67,1,1,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
9,9,97,99,8,8,6,52.38586,4.87644,2,1.0,1.0,13,80.0,1,1125,1.0,3.0,999.0,1125.0,1.0,1047.5,20,35,44,250,31,18,3,4.81,4.84,4.87,4.81,4.84,4.74,4.58,9,0,9,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
