iter	Passed	Remaining
0	3	3522
1	6	3004
2	8	2944
3	11	2846
4	13	2758
5	16	2739
6	18	2660
7	20	2595
8	23	2549
9	25	2508
10	27	2469
11	29	2443
12	31	2422
13	34	2398
14	36	2376
15	38	2365
16	40	2348
17	42	2329
18	44	2323
19	47	2313
20	49	2307
21	51	2298
22	54	2294
23	56	2288
24	58	2279
25	60	2269
26	62	2262
27	64	2252
28	67	2246
29	69	2241
30	71	2233
31	73	2225
32	75	2222
33	77	2215
34	80	2211
35	82	2204
36	84	2200
37	86	2195
38	88	2192
39	91	2193
40	93	2189
41	95	2187
42	98	2183
43	100	2181
44	102	2176
45	104	2171
46	107	2169
47	109	2164
48	111	2159
49	113	2156
50	115	2154
51	117	2149
52	120	2147
53	122	2144
54	124	2144
55	127	2146
56	129	2150
57	132	2151
58	134	2151
59	137	2156
60	140	2158
61	142	2156
62	145	2157
63	147	2158
64	149	2153
65	152	2152
66	154	2152
67	157	2156
68	159	2153
69	161	2149
70	163	2144
71	166	2145
72	168	2142
73	170	2138
74	173	2134
75	175	2128
76	177	2123
77	179	2116
78	181	2112
79	183	2107
80	185	2102
81	187	2096
82	189	2093
83	191	2088
84	193	2081
85	195	2079
86	197	2073
87	199	2068
88	201	2063
89	203	2058
90	205	2053
91	207	2050
92	209	2046
93	211	2042
94	213	2037
95	215	2032
96	217	2029
97	220	2025
98	222	2020
99	224	2016
100	226	2013
101	228	2013
102	231	2016
103	234	2019
104	237	2021
105	240	2024
106	242	2024
107	245	2031
108	248	2033
109	252	2039
110	254	2035
111	256	2031
112	258	2027
113	260	2023
114	262	2019
115	264	2016
116	266	2012
117	268	2008
118	270	2005
119	272	2001
120	274	1997
121	277	1993
122	279	1989
123	281	1985
124	283	1981
125	285	1979
126	288	1982
127	291	1983
128	293	1982
129	295	1978
130	297	1975
131	299	1971
132	302	1968
133	304	1965
134	306	1962
135	308	1959
136	311	1962
137	313	1960
138	315	1957
139	318	1953
140	320	1950
141	322	1946
142	324	1944
143	326	1940
144	328	1937
145	330	1933
146	332	1930
147	334	1926
148	336	1923
149	339	1921
150	341	1918
151	343	1915
152	345	1912
153	347	1908
154	349	1905
155	351	1903
156	354	1900
157	356	1899
158	358	1896
159	360	1893
160	363	1895
161	365	1893
162	368	1890
163	370	1887
164	372	1884
165	374	1882
166	376	1878
167	378	1875
168	380	1872
169	382	1869
170	384	1866
171	388	1869
172	390	1866
173	392	1864
174	394	1861
175	397	1860
176	399	1858
177	401	1855
178	403	1852
179	406	1850
180	408	1847
181	411	1849
182	413	1847
183	415	1844
184	418	1842
185	420	1839
186	422	1836
187	424	1834
188	426	1832
189	429	1829
190	431	1827
191	433	1825
192	435	1821
193	437	1819
194	440	1816
195	442	1814
196	444	1811
197	446	1808
198	448	1805
199	450	1802
200	452	1799
201	455	1797
202	457	1794
203	459	1791
204	461	1789
205	463	1786
206	465	1783
207	467	1780
208	470	1781
209	473	1780
210	475	1778
211	478	1778
212	480	1776
213	483	1775
214	485	1773
215	487	1770
216	489	1767
217	492	1765
218	494	1762
219	496	1759
220	498	1756
221	500	1753
222	502	1751
223	504	1748
224	506	1745
225	509	1743
226	511	1740
227	513	1737
228	515	1735
229	517	1732
230	519	1729
231	521	1727
232	523	1724
233	525	1721
234	528	1718
235	530	1716
236	532	1713
237	534	1711
238	536	1709
239	539	1707
240	541	1705
241	543	1701
242	545	1699
243	547	1697
244	550	1695
245	552	1693
246	555	1692
247	557	1690
248	560	1689
249	562	1688
250	565	1686
251	567	1685
252	570	1683
253	572	1682
254	574	1679
255	577	1676
256	579	1674
257	581	1672
258	583	1669
259	585	1666
260	587	1664
261	589	1661
262	591	1658
263	594	1656
264	596	1653
265	598	1651
266	600	1648
267	602	1645
268	604	1643
269	606	1640
270	608	1638
271	611	1635
272	613	1633
273	615	1630
274	617	1628
275	619	1625
276	621	1622
277	623	1620
278	625	1617
279	627	1614
280	630	1612
281	632	1609
282	634	1607
283	638	1609
284	644	1616
285	647	1616
286	651	1618
287	656	1623
288	659	1621
289	661	1619
290	663	1617
291	666	1615
292	668	1612
293	670	1609
294	673	1609
295	678	1613
296	680	1610
297	682	1608
298	684	1605
299	686	1602
300	689	1600
301	691	1597
302	693	1594
303	695	1592
304	697	1589
305	699	1586
306	701	1584
307	704	1581
308	706	1578
309	708	1576
310	710	1573
311	712	1570
312	714	1568
313	716	1565
314	718	1562
315	720	1560
316	723	1558
317	725	1555
318	727	1552
319	729	1550
320	731	1547
321	733	1545
322	735	1542
323	738	1540
324	740	1537
325	742	1535
326	744	1532
327	746	1529
328	749	1528
329	752	1526
330	754	1524
331	756	1521
332	758	1519
333	760	1516
334	762	1513
335	764	1511
336	766	1508
337	768	1506
338	771	1503
339	773	1501
340	775	1498
341	777	1496
342	780	1494
343	782	1492
344	785	1491
345	787	1489
346	790	1486
347	792	1484
348	794	1481
349	796	1479
350	798	1476
351	800	1473
352	802	1471
353	805	1469
354	807	1466
355	809	1464
356	811	1462
357	814	1459
358	816	1457
359	818	1454
360	820	1452
361	822	1449
362	824	1447
363	827	1445
364	829	1442
365	831	1439
366	833	1437
367	835	1434
368	837	1432
369	839	1429
370	841	1427
371	844	1425
372	846	1423
373	849	1421
374	851	1419
375	853	1417
376	856	1414
377	858	1412
378	860	1410
379	862	1407
380	864	1405
381	867	1402
382	869	1400
383	871	1398
384	873	1395
385	875	1393
386	877	1390
387	880	1388
388	882	1385
389	884	1383
390	886	1380
391	888	1378
392	890	1375
393	892	1373
394	894	1370
395	896	1367
396	898	1365
397	900	1362
398	903	1360
399	905	1357
400	907	1355
401	909	1352
402	911	1350
403	913	1347
404	915	1345
405	917	1342
406	919	1340
407	921	1337
408	923	1334
409	925	1332
410	927	1329
411	930	1327
412	932	1325
413	934	1322
414	936	1320
415	939	1318
416	941	1316
417	943	1313
418	945	1311
419	947	1308
420	949	1306
421	952	1303
422	954	1301
423	956	1298
424	958	1296
425	960	1293
426	962	1291
427	964	1289
428	966	1286
429	968	1284
430	971	1282
431	973	1280
432	976	1278
433	978	1276
434	981	1274
435	983	1272
436	985	1270
437	988	1268
438	990	1266
439	993	1264
440	995	1262
441	998	1260
442	1000	1258
443	1003	1257
444	1006	1254
445	1008	1252
446	1010	1249
447	1012	1247
448	1014	1245
449	1016	1242
450	1018	1240
451	1020	1237
452	1023	1235
453	1025	1232
454	1027	1230
455	1029	1228
456	1031	1225
457	1033	1223
458	1035	1220
459	1037	1218
460	1039	1215
461	1042	1213
462	1044	1211
463	1046	1208
464	1048	1206
465	1050	1203
466	1052	1201
467	1055	1199
468	1057	1197
469	1060	1195
470	1062	1193
471	1065	1191
472	1067	1189
473	1070	1187
474	1072	1185
475	1075	1183
476	1077	1181
477	1079	1179
478	1081	1176
479	1083	1174
480	1086	1171
481	1088	1169
482	1090	1166
